psraid,sample,int_date,lang,form,llitext1,qs1,live1,reg,oftvote,eminuse,intmob,home3nw,bbhome1f1,bbhome1f2,bbhome2,device1a,smart1,intfreq,device1b,device1c,device1d,act112,act124,act125,act135,act136,act127,act128,act129,sns2a,sns2b,sns2c,sns2d,sns2e,q1a,q1b,q1c,q1d,q1e,q1f,q1g,q1h,q2a,q2b,q2c,q2d,q2e,q2f,q3,q4,books1,books2a,books2b,books2c,q7a,q7b,q7c,q7d,q8a,q8b,q8c,q8d,libusea,libuseb,libusec,lib_frq,libst_frq,libapp_frq,libmob,libvisit,ebk_awr,ebk_brw,q9a,q9b,q9c,q9d,q9e,q9f,q9g,q10,q11a,q11b,q11c,q11d,q12,q13a,q13b,q13c,q13d,q13e,q13f,q14,q15a,q15b,q15c,q15d,q15e,q15f,q16a,q16b,q17a,q17b,q17c,q17d,q18a,q18b,q18c,q18d,sex,age,marital,par,kidage1,educ2,emplnw,disa,party,partyln,ideo,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,inc,hh1,hh3,zipcode,usr,cregion,state,weight,standwt
100001,1,31016,1,1,2, ,2,1,1,1,1,1,2, , ,1,1,1,1,2,1,2,2,1,1,2, , , , , ,5, ,1,1,2,2,2,2,1,2,2,2,1,3,1,1,3,2,1,10,1,1,1, ,3,5,5,3,1,1,3,1,1,1,3,2,3,1,3,1,2,1,2,2,1,2, , ,2, , , , ,2,1,1,1, , , ,1,1,1,1,1,1,1,1,1,1,3, , ,2,1, , ,2,34,1,1,0,4,2,2,3,2,4,2,1, , , , ,6,4,2,23464,U,3,51,6.9375,2.28787780476199
100003,1,30716,1,2,1, ,4,1,2,1,2, , ,2, ,2, ,4,2,2,1, , , , , ,2,2,2, , , , , ,1,1,1,2,1,1,1,2,4,2,1,3,1,2,2,1,4,1,2,2, , , , ,2,3,1,1,2,3,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,1,1,1,2,2,2,2,2,1, , ,2,1, , ,1,2,1,53,3,2, ,4,3,1,1, ,2,2,1, , , , ,2,1, ,40962,R,3,21,6.9375,2.28787780476199
100005,1,31016,1,1,2, ,4,3, ,1,1,1,2, , ,1,8,3,2,1,1,2,1,2,1,2, , , , ,3, , ,2,1,2,2,1,2,1,2,2,2,2,2,2,2,3,2,1,7,2,2,2, , , , ,2,2,1,1,1,3,3,3, , , ,3,1,2,1,1,1,1,2, , ,1,1,2, , ,1, , , , , , ,1,2,2,2,2,2,1,3,3,2,1, , ,3,2, , ,2,49,5,1,0,5,6,1,3,2,3,2,1, , , , ,3,2,1,24237,R,3,51,2.03125,.669874132024908
100009,1,32616,1,2,2, ,3,1,1,1,2, , ,2, ,1,2,5,2,2,1, , , , , ,2,2,2, , , , , ,1,1,1,1,1,1,1,1,4,4,2,1,3,3,2,1,30,1,2,2, , , , ,1,2,2,2,3,3,3, , , , ,3,2, , , , , , , , , , , , , ,2, , , , , , ,1,2,1,2,2,2,1,2,1, , ,2,1, , ,2,3,1,73,1,2, ,3,1,2,1, ,1,2,1, , , , ,6,2,2,47940,R,2,18,2.46875,.814154714307196
100014,1,30716,1,2,2, ,4,3, ,1,1, , ,2, ,1,2,4,1,1,2, , , , , ,2,2,2, , , , , ,2,2,2,2,2,2,2,2,4,2,1,1,2,3,2,1,15,1,2,1,1,2, ,5,3,2,5,3,1,1,3,3,4, ,2,3,1,2,1,1,1, , ,2,2,1, , ,2,2,2, , , ,1,8,2,1,2,1,1,1,1,1,1,1, , ,3,1, , ,2,2,2,63,5,2, ,8,3,2,9,9,2,2,1, , , , ,99,1, ,49065,S,2,26,1,.329784188073801
100016,1,31016,1,2,1, ,2,1,1,1,2, , ,2, ,1,2,3,2,1,1, , , , , ,2,2,2, , , , , ,1,2,2,1,2,2,1,2,2,4,3,2,2,3,1,2,8,1,1,2, , , , ,2,2,1,1,1,3,3,3, , , ,2,1,2,1,1,2, , ,2,2,2, , , , ,2, , , , , , ,1,2,2,1,1,8,1,1,1, , ,1,1, , ,1,8,2,85,5,2, ,8,3,2,2, ,4,2,1, , , , ,4,1, ,07090,S,1,34,1.4375,.474064770356089
100017,1,31216,1,1,1, ,1,3, ,1,1,1,2, , ,1,1,2,2,2,1,2,2,2,1,2, , , , , , , ,1,2,2,2,2,2,1,2,2,4,2,4,1,1,2,2,3,0, , , , , , , ,2,5,5,1,2,3,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,8,2,2,2,1,4,1,3,1,2,1, , ,8,2, , ,1,34,1,1,1,3,1,2,1, ,2,2,1, , , , ,4,3,1,23505,U,3,51,3.34375,1.10271587887177
100019,1,31216,1,1,2, ,2,1,2,1,1,1,2, , ,1,1,3,2,1,1,2,2,1,1,2, , , , , ,2, ,2,2,2,2,2,3,1,2,2,3,2,1,2,2,2,2,2,12,1,2,1,2, ,5,5,6,2,2,2,1,1,1,3,3,3,1,3,8, ,1,1,2,2,2, , ,1,2,2, , ,2,1,1,1, , , ,1,2,1,1,1,1,1,1,1,1,3, , ,2,1, , ,2,69,1,2, ,8,3,2,2, ,4,2,1, , , , ,7,2,2,19055,S,1,42,1.21875,.401924479214945
100022,1,30716,1,2,2, ,4,1,2,1,2, , ,2, ,2, ,4,2,2,1, , , , , ,2,2,2, , , , , ,1,2,1,1,2,2,2,2,4,2,1,2,2,2,2,2,0, , , , , , , ,5,1,1,3,1,3,3,4, , , ,3,8, ,1,2,2, , ,2,2,2, , , , ,2, , , , , , ,1,1,2,1,2,2,1,1,1, , ,2,3, , ,1,4,2,73,1,2, ,4,3,2,3,2,3,2,1, , , , ,6,4,3,14013,R,1,36,5.4375,1.79320152265129
100026,1,30716,1,1,1, ,3,1,2,1,1,1,2, , ,1,1,2,1,2,1,2,2,2,2,2, , , , , , , , ,2,2,2,1,2,1,1,2,3,3,3,1,1,2,2,1,10,1,2,1, ,4,5,5,2,3,3,2,1,1,3,4,4, ,2,3,2, ,1,2,2,2,2, , ,2, , , , ,2,2,2,2, , , ,1,1,1,1,1,1,1,1,1,2,2, , ,3,1, , ,1,35,1,1,2,3,1,2,3,2,4,2,1, , , , ,5,4,2,48103,U,2,26,3.28125,1.08210436711716
100028,1,30716,1,2,1, ,4,1,1,1,1, , ,2, ,1,1,2,2,2,1, , , , , ,2,2,2, , , , , ,1,2,2,2,2,1,2,1,4,4,4,4,2,2,1,2,2,1,2,2, , , , ,5,4,1,2,1,3,3,4, , , ,3,2, ,2,2,2, , ,2,2,2, , , , ,2, , , , , , ,1,1,1,8,1,1,1,2,1, , ,3,1, , ,1,2,2,60,1,2, ,8,1,2,2, ,8,1,1, , , ,1,9,2,2,07840,S,1,34,1.0625,.350395699828413
100030,1,31016,1,1,2, ,3,3, ,2,2, , , , ,2, , ,2,2,2, , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,2,0, , , , , , , ,5,5,2,5,3,3,3, , , , ,3,8, , , , , , , , , , , , , ,2, , , , , , ,8,8,4,4,8,4,4,3,3,4,1, , ,4,4, , ,2,50,3,2, ,2,2,2,4,1,8,2,1, , , , ,1,2,2,06614,U,1,9,6.9375,2.28787780476199
100031,1,30716,1,2,2, ,2,3, ,1,1, , ,2, ,1,1,2,2,2,1, , , , , ,1,1,2, , , , , ,1,2,2,2,2,2,2,2,1,2,2,2,1,4,2,1,6,1,2,2, , , , ,3,1,5,1,1,1,3,2,1, ,2,3,2, ,1,1,1, , ,2,2,2, , , , ,2, , , ,1,2,1,1,2,2,1,1,2,1,1,2, , ,2,1, , ,1,4,2,18,6,2, ,3,1,2,3,2,8,1,7, , , ,1,4,4,2,06606,U,1,9,3.1875,1.05118709948524
100035,1,30716,1,2,1, ,2,1,1,1,1, , ,2, ,1,1,2,2,1,1, , , , , ,1,2,2, , , , , ,1,1,2,2,2,1,2,2,3,2,2,1,1,1,2,1,7,1,2,2, , , , ,2,2,1,2,1,2,3,2, , , ,3,8, ,1,1,1, , ,2,2,2, , , , ,2, , , , , , ,1,1,1,1,1,1,1,1,1, , ,1,1, , ,1,1,2,50,3,2, ,6,1,2,2, ,5,2,2, , , , ,4,2,2,22907,U,3,51,2.125,.700791399656827
100039,1,31016,1,1,1, ,2,1,2,2,2, , , , ,2, , ,2,2,1, , , , , , , , , , , , , ,2,2,2,2,3,2,2,2,4,2,2,2,4,4,1,2,9,1,2,2, , , , ,5,3,5,9,2,3,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,8,8,8,8,8,8,8,3,2,8,3, , ,4,2, , ,1,87,1,2, ,8,3,2,3,9,1,2,1, , , , ,3,2,2,32703,S,3,12,6.1875,2.04053966370664
100042,1,30716,1,1,2, ,4,1,1,1,1,1,2, , ,1,1,2,2,1,1,2,2,1,1,1, , , , , ,3,5,1,1,1,2,1,1,1,1,2,2,1,3,1,1,4,2,2,7,1,2,1,3, ,5,5,1,1,1,1,1,3,3,4, , , ,3,1,2,1,2,1,2,2, , ,2, , , , ,2, , , , , , ,2,1,1,1,4,2,1,1,1,2,3, , ,2,2, , ,2,59,1,1,0,8,1,1,2, ,4,2,1, , , , ,6,3,2,04444,S,1,23,1.4375,.474064770356089
100053,1,30716,1,1,1, ,2,1,2,1,2,1,2, , ,1,2,2,1,1,1,2,2,1,1,2, , , , , ,3, ,2,2,2,2,1,1,1,2,2,4,1,3,1,1,4,2,1,75,1,2,1,5,3,4,5,1,1,1,1,1,1,3,3,2, ,2,2,1,1,1,2,2,2,2, , ,1,2,1, , ,1,1,1,1, , , ,1,1,2,1,1,2,2,1,1,2,2, , ,2,1, , ,2,48,1,2, ,6,1,2,2, ,3,2,1, , , , ,5,2,2,43560,S,2,39,1.875,.618345352638377
100054,1,32616,1,1,1, ,3,1,1,2,2, , , , ,1,8, ,2,2,2, , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,1,1,4,3,3,2,2,1,0, , , , , , , ,5,5,1,5,3,3,3, , , , ,3,2, , , , , , , , , , , , , ,2, , , , , , ,1,1,3,1,1,4,2,3,2,3,8, , ,2,2, , ,1,92,5,2, ,4,3,2,2, ,2,2,1, , , , ,3,1, ,44221,S,2,39,1.46875,.484370526233395
100062,1,30716,1,2,2, ,4,1,1,1,1, , ,1,1,1,1,2,1,1,1, , , , , ,2,2,2, , , , , ,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,20,1,2,1,1,5,2,5,5,1,1,5,1,3,3,4, , , ,3,8, ,1,2,2, , ,2,2,2, , , , ,2, , , , , , ,1,2,2,8,2,8,2,2,2, , ,2,1, , ,2,8,2,50,1,2, ,5,1,2,3,8,3,2,1, , , , ,98,3,3,49457,S,2,26,3.03125,.999658320098709
100084,1,30716,1,2,2, ,3,1,2,2,1, , ,5, ,1,2,5,2,2,2, , , , , ,2,2,2, , , , , ,2,1,1,1,2,1,2,2,1,1,3,1,1,4,2,1,97,1,2,2, , , , ,5,1,1,5,1,3,3,3, , , ,2,8, ,1,2,1, , ,2,2,2, , , , ,2, , , , , , ,1,2,2,1,8,2,1,2,1, , ,2,3, , ,3,8,2,94,5,2, ,8,3,2,3,1,2,2,1, , , , ,8,1, ,47401,U,2,18,1,.329784188073801
100086,1,30716,1,1,1, ,3,1,1,1,1,1,2, , ,1,1,2,2,2,1,2,1,1,1,2, , , , ,1,3, ,1,1,2,2,1,2,1,2,2,3,2,3,2,2,2,2,1,0, , , , , , , ,3,5,3,3,1,3,3,4, , , ,3,1,2,2,2,1,2,2, , ,2, , , , ,2, , , , , , ,1,2,2,1,2,1,1,2,1,2,3, , ,2,2, , ,2,18,2,2, ,3,4,2,2, ,3,2,1, , , , ,3,4,4,32796,U,3,12,4.75,1.56647489335055
100094,1,30716,1,1,1, ,2,1,1,1,2,1,2, , ,1,1,5,2,2,1,2,2,1,1,2, , , , , ,5, ,1,2,2,1,2,2,2,2,2,4,3,4,2,1,3,1,1,0, , , , , , , ,5,2,5,5,2,3,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,2,8,8,1,1,2,1,3,2,1,1, , ,4,4, , ,1,67,3,2, ,4,3,1,3,1,2,2,1, , , , ,6,3,3,06611,S,1,9,2.59375,.855377737816421
100098,1,31016,1,2,2, ,2,1,1,1,1, , ,2, ,1,1,2,2,2,1, , , , , ,2,2,2, , , , , ,2,1,2,2,1,1,1,1,4,1,4,3,1,3,2,1,8,1,2,2, , , , ,3,1,1,3,1,1,3,4,4, ,2,3,1,2,1,2,2, , ,2,2,2, , , , ,2, , , ,1,2,2,1,2,2,2,3,3,1,2,3, , ,3,2, , ,3,4,2,43,6,2, ,6,1,2,1, ,1,2,1, , , , ,6,1, ,30080,S,3,13,3.03125,.999658320098709
100100,1,31616,1,1,2, ,1,3, ,2,2, , , , ,1,2, ,2,1,2, , , , , , , , , , , , , ,2,2,2,2,3,1,2,2,2,3,4,9,4,4,2,9,3,1,2,2, , , , ,5,1,5,5,2,3,3, , , , ,3,1,2, , , , , , , ,2, , , , ,2, , , , , , ,8,9,8,1,1,8,1,1,1,1,3, , ,2,1, , ,2,83,5,2, ,4,3,1,3,9,9,2,1, , , , ,5,3,3,75060,U,3,48,2.0625,.680179887902214
100108,1,31016,1,2,2, ,4,1,1,1,2, , ,2, ,1,2,4,2,2,1, , , , , ,2,2,2, , , , , ,2,2,2,1,3,2,2,2,4,2,1,1,2,2,2,1,50,1,1,1, , ,2,5,5,1,2,2,2,3,3, , , , ,1,1,2, , , , , , , ,2, , , , ,2, , , , , , ,1,3,1,2,1,3,1,3,2, , ,1,2, , ,3,3,1,78,1,2, ,3,3,2,3,1,1,2,1, , , , ,2,2,2,55616,R,2,27,2.46875,.814154714307196
100118,1,32616,1,1,2, ,3,1,2,2,2, , , , ,2, , ,2,2,2, , , , , , , , , , , , , ,2,2,2,2,3,1,1,2,3,3,3,3,3,3,1,2,0, , , , , , , ,5,3,5,5,2,3,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,8,1,1,1,1,4,1,3,8,2,1, , ,2,1, , ,2,79,1,2, ,1,3,2,9,9,1,2,1, , , , ,99,2,2,54467,R,2,55,6.9375,2.28787780476199
100120,1,30716,1,1,1, ,2,1,2,1,1,1,2, , ,1,1,2,1,1,1,1,2,1,1,1, , , ,5, ,6,5,3,2,2,2,1,2,1,2,1,1,3,2,2,2,1,1,2,30,1,2,2, , , , ,1,2,3,2,1,1,3,2,1, ,2,3,1,1,1,1,1,2,2, , ,2, , , , ,2,1,1,1, , , ,1,2,2,2,1,2,1,2,1,2,3, , ,1,2, , ,2,58,6,2, ,6,1,2,1, ,3,2,1, , , , ,99,1, ,55303,S,2,27,1.03125,.340089943951107
100124,1,30716,1,1,2, ,4,1,3,1,1,1,2, , ,1,1,2,2,2,1,2,1,1,1,2, , , , ,1,5, ,1,2,2,2,2,2,1,2,2,2,1,2,2,1,3,2,1,4,1,2,2, , , , ,5,1,1,1,1,1,3,4,4, ,1,1,8, ,2,1,2,1,1, , ,1,1,1, , ,2,2,2,2, , , ,8,3,3,2,3,3,3,3,2,1,2, , ,8,2, , ,2,26,1,2, ,6,4,2,3,2,4,2,1, , , , ,98,2,2,73028,S,3,40,2.34375,.772931690797971
100125,1,30716,1,2,2, ,4,1,1,1,1, , ,1,1,1,8,3,2,1,1, , , , , ,2,8,2, , , , , ,2,2,2,2,3,1,2,2,4,4,4,4,1,4,2,1,0, , , , , , , ,1,2,5,3,2,3,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,8,8,8,8,8,3,8,3,3, , ,2,1, , ,8,4,1,80,5,2, ,5,3,2,1, ,3,2,1, , , , ,5,1, ,93523,S,4,6,2.0625,.680179887902214
100135,1,32916,1,2,1, ,1,1,1,1,2, , ,2, ,1,2,4,2,2,1, , , , , ,2,2,2, , , , , ,2,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,1,2,2, , , , ,2,1,1,3,1,2,3,4, , , ,3,8, ,1,2,1, , ,2,2,1, , ,2,2,2, , , , , , ,1,2,1,1,1,1,1,1,1, , ,1,1, , ,2,2,2,59,1,2, ,4,2,2,2, ,3,2,2, , , , ,4,3,3,60629,U,2,17,3.375,1.11302163474908
100139,1,30716,1,1,1, ,3,3, ,1,1,1,2, , ,1,1,1,2,2,2,2,2,2,1,2, , , , , , , ,1,2,2,2,2,2,2,2,2,1,2,4,1,1,3,2,1,2,1,2,2, , , , ,5,1,2,5,1,3,3,4, , , ,3,8, ,1,2,1,2,1, , ,2, , , , ,2, , , , , , ,1,1,1,1,2,1,1,2,1,3,3, , ,3,1, , ,2,50,1,2, ,5,6,1,3,9,5,1,1, , , ,1,6,2,2,86409,U,4,4,3.5,1.1542446582583
100140,1,40416,1,2,1, ,1,3, ,1,1, , ,2, ,1,1,2,2,1,1, , , , , ,2,1,2, , , , , ,1,8,1,2,3,1,2,1,2,1,1,1,1,4,2,2,7,1,2,1,5, ,4,4,1,3,1,2,1,3,3,4, , , ,3,8, ,1,2,2, , ,2,2,2, , , , ,2, , , , , , ,8,3,3,2,4,4,1,3,2, , ,3,9, , ,4,4,2,16,6,2, ,2,4,2,3,2,8,2,1, , , , ,98,7,3,91204,U,4,6,2.03125,.669874132024908
100143,1,30716,1,1,2, ,3,1,2,1,2,1,2, , ,2, ,4,2,2,1,2,2,2,2,2, , , , , , , , ,2,2,2,2,3,2,2,2,2,3,2,1,2,2,1,2,4,1,2,2, , , , ,5,3,1,5,2,1,3, ,4, ,2,3,1,1, , , , , , , ,1,2,2, , ,2,2,2,2, , , ,1,1,1,1,8,2,1,2,2,2,3, , ,3,8, , ,1,90,5,2, ,5,4,2,1, ,2,2,1, , , , ,5,1, ,15748,R,1,42,6.375,2.10237419897048
100145,1,30716,1,1,2, ,3,1,1,1,1,1,2, , ,1,2,3,2,1,1,2,2,2,1,2, , , , , , , ,2,1,2,2,1,2,1,2,2,2,2,4,1,2,4,2,1,0, , , , , , , ,5,4,2,2,2,2,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,1,1,1,1,2,2,1,1,1,1,2, , ,8,1, , ,2,52,1,1,1,3,1,2,2, ,4,2,1, , , , ,5,4,3,47581,R,2,18,2.59375,.855377737816421
100151,1,40216,1,1,2, ,2,1,3,1,1,1,2, , ,1,1,1,2,1,1,2,1,1,1,1, , , , ,2,2,5,1,1,1,2,1,1,1,2,1,4,1,2,2,1,3,2,1,2,2,2,1,2, ,5,2,4,3,3,5,2,3,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,1,2,2,2,1,1,1,2,1,2,2, , ,3,2, , ,1,41,1,1,0,6,1,2,1, ,2,2,1, , , , ,9,4,2,55376,S,2,27,2.6875,.88629500544834
100155,1,31316,1,1,2, ,3,1,1,2,2, , , , ,2, , ,2,2,2, , , , , , , , , , , , , ,2,2,2,2,2,1,2,2,8,1,4,1,1,1,2,1,5,1,2,2, , , , ,6,1,1,2,1,3,3,3, , , ,3,2, ,2,2,2,1,2, , ,2, , , , ,2, , , , , , ,1,1,2,1,2,1,1,3,1,2,3, , ,8,1, , ,2,41,5,2, ,3,3,1,1, ,3,2,1, , , , ,2,1, ,84634,R,4,49,6.9375,2.28787780476199
100158,1,30716,1,1,1, ,3,1,2,1,2,1,2, , ,1,2,3,1,1,1,2,2,2,1,1, , , , , , ,6,3,2,2,1,1,2,1,2,1,3,1,3,1,1,4,2,1,30,1,2,1,3,4,5,5,5,1,1,2,1,1,1,3,3,3,1,2,1,1,1,1,1,2,2, , ,1,2,2, , ,1,1,1,1, , , ,2,2,2,2,2,3,1,1,1,1,1, , ,1,1, , ,2,58,3,2, ,8,3,2,2, ,4,2,1, , , , ,3,2,2,99217,S,4,53,1.53125,.504982037988008
100160,1,30716,1,2,2, ,1,1,1,2,2, , , , ,2, , ,2,2,2, , , , , , , , , , , , , ,1,1,1,1,2,1,2,2,3,3,3,4,4,2,1,2,0, , , , , , , ,5,4,5,5,2,3,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,1,1,2,1,1,2,1,3,1, , ,3,1, , ,1,1,2,90,5,2, ,3,3,1,2, ,3,2,1, , , , ,3,1, ,59104,U,4,30,4.0625,1.33974826404982
100167,1,31216,2,1,1, ,3,1,8,2,2, , , , ,2, , ,2,2,2, , , , , , , , , , , , , ,2,2,2,8,3,2,2,2,3,3,3,2,3,3,1,8,0, , , , , , , ,5,5,4,5,2,3,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,8,3,1,3,1,3,3,1,2,8,8, , ,3,2, , ,2,73,1,2, ,1,3,1,2, ,3,1,7, , , ,3,98,2,2,67801,R,2,20,6.9375,2.28787780476199
100173,1,31316,1,2,2, ,3,1,3,1,1, , ,2, ,1,1,2,2,1,1, , , , , ,2,2,2, , , , , ,2,1,2,2,1,1,1,2,3,3,1,2,2,2,2,1,5,1,2,1,5, ,4,4,1,3,1,1,1,1,3,4,4, ,1,1,1,2,1,1,1, , ,2,2,2, , , , ,1, , , ,2,2,1,1,2,2,1,2,2,1,2,1, , ,2,1, , ,1,4,2,47,1,2, ,6,1,2,3,8,3,2,1, , , , ,8,2,2,55398,S,2,27,1.25,.412230235092251
100180,1,31216,1,2,1, ,3,1,1,1,1, , ,2, ,1,1,2,2,1,2, , , , , ,2,2,2, , , , , ,2,1,2,2,2,1,1,2,4,1,1,4,1,4,1,1,12,1,2,2, , , , ,1,1,2,1,3,3,3, , , , ,3,8, , , , , , , , , , , , , ,2, , , , , , ,1,1,1,1,8,1,1,3,1, , ,1,1, , ,8,4,2,58,1,2, ,6,2,2,1, ,4,2,1, , , , ,9,2,2,93291,U,4,6,1.125,.371007211583026
100181,1,30716,1,2,2, ,3,1,1,2,2, , , , ,1,1, ,2,2,2, , , , , , , , , , , , , ,2,1,2,1,2,1,2,1,2,2,2,2,4,4,2,8,3,1,2,2, , , , ,5,3,5,4,1,3,3,4, , , ,3,8, ,1,2,2, , ,2,2,2, , , , ,2, , , , , , ,1,1,2,1,2,1,2,2,1, , ,2,1, , ,1,2,2,67,1,2, ,4,3,2,1, ,3,2,1, , , , ,5,2,2,93550,S,4,6,1.6875,.556510817374539
100186,1,30716,1,2,2, ,3,1,1,2,2, , , , ,1,8, ,2,2,2, , , , , , , , , , , , , ,2,2,2,2,2,1,2,2,4,1,4,1,3,4,2,1,98, , , , , , , ,5,1,2,2,1,3,3,2, , , ,3,8, ,1,2,1, , ,2,2,2, , , , ,2, , , , , , ,1,8,1,1,8,8,1,1,3, , ,1,1, , ,1,8,2,84,5,2, ,3,3,2,3,8,8,2,1, , , , ,1,6,3,96793,U,4,15,1.40625,.463759014478782
100188,1,31016,1,2,1, ,3,1,1,1,2, , ,2, ,1,2,5,2,2,1, , , , , ,2,2,2, , , , , ,2,2,2,1,2,1,2,2,3,2,3,2,1,4,1,2,0, , , , , , , ,5,5,3,4,2,3,3, , , , ,3,1,2, , , , , , , ,2, , , , ,2, , , , , , ,1,1,1,1,1,2,1,2,1, , ,2,1, , ,1,1,2,75,5,2, ,4,2,2,1, ,1,2,1, , , , ,3,1, ,61482,R,2,17,1.1875,.391618723337638
100190,1,31016,1,1,1, ,3,1,1,1,1,1,2, , ,1,1,1,2,1,1,1,2,2,1,1, , , ,5, , ,3,3,2,1,2,1,1,1,2,1,4,1,4,4,1,4,2,1,1,1,2,2, , , , ,1,1,1,1,2,3,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,1,1,3,2,2,4,1,3,1,2,3, , ,3,2, , ,1,55,1,2, ,4,1,2,3,1,2,2,1, , , , ,9,2,2,71037,S,3,22,1.84375,.60803959676107
100197,1,32616,1,2,2, ,4,1,2,2,2, , , , ,2, , ,2,2,2, , , , , , , , , , , , , ,2,2,2,2,3,2,2,2,4,1,4,1,4,4,2,8,2,1,2,2, , , , ,5,2,1,5,1,3,3,4, , , ,3,8, ,1,1,2, , ,2,2,2, , , , ,2, , , , , , ,1,2,1,2,2,2,1,2,1, , ,1,1, , ,1,2,2,68,1,2, ,3,3,2,9,9,2,2,1, , , , ,99,2,2,53933,R,2,55,6.9375,2.28787780476199
100204,1,31316,1,2,1, ,3,1,1,2,2, , , , ,1,8, ,2,2,2, , , , , , , , , , , , , ,2,2,2,1,3,2,2,2,4,1,1,1,4,4,2,1,3,1,2,2, , , , ,5,1,5,5,3,1,3, ,3, ,2,3,1,2, , , , , , , , , , , , ,2, , , ,2,2,2,2,1,3,1,1,3,1,3,3, , ,1,1, , ,2,2,2,39,6,2, ,1,4,2,1, ,5,2,1, , , , ,1,4,4,28120,S,3,37,6.5,2.14359722247971
100205,1,31016,1,2,2, ,2,1,1,1,1, , ,2, ,1,1,2,2,1,1, , , , , ,2,2,2, , , , , ,1,1,1,1,1,1,2,1,2,1,3,1,1,3,2,1,12,1,1,2, , , , ,1,1,1,1,1,1,3,4,4, ,1,3,1,2,1,1,1, , ,2,2,1, , ,2,2,2, , , ,2,1,1,1,1,1,1,1,2,1,1,1, , ,2,1, , ,2,8,2,57,1,1,0,6,1,2,1, ,3,2,1, , , , ,7,3,2,11754,S,1,36,2.4375,.803848958429889
100207,1,31016,1,2,2, ,1,2, ,1,2, , ,2, ,1,2,2,1,2,1, , , , , ,2,2,2, , , , , ,1,2,1,1,1,1,1,1,1,2,2,2,1,4,1,2,30,1,1,1, ,3,5,5,3,1,1,2,1,1,3,4,4, ,1,3,1,2,1,1,2, , ,2,2,2, , , , ,2, , , ,2,1,2,2,2,2,2,2,2,1,2,2, , ,3,1, , ,2,2,1,23,6,2, ,6,1,2,1, ,1,2,1, , , , ,6,8,8,11207,U,1,36,2.21875,.731708667288746
100208,1,31016,1,2,1, ,3,1,2,1,1, , ,2, ,1,1,1,1,1,1, , , , , ,1,2,2, , , , , ,1,1,2,1,2,1,2,2,3,1,4,2,1,4,1,2,4,1,2,1,5,4,5,5,5,3,2,3,1,1,3,3,3, ,2,3,1,1,1,2,2, , ,2,2,1, , ,2,2,2, , , ,2,2,2,1,1,1,2,2,3,1,1,1, , ,2,1, , ,2,2,2,54,1,2, ,5,1,2,3,2,3,2,1, , , , ,8,3,3,03909,S,1,23,4.9375,1.62830942861439
100211,1,31016,1,2,1, ,4,1,1,1,2, , ,2, ,1,2,2,2,2,1, , , , , ,2,2,2, , , , , ,2,1,2,2,1,1,1,2,4,3,4,4,1,4,9,9,97,1,2,2, , , , ,2,1,1,2,1,1,3,3,4, ,2,3,1,2,2,2,2, , ,2,2,2, , , , ,2, , , ,2,2,2,1,4,1,2,2,1,1,1,2, , ,3,3, , ,2,2,1,69,1,2, ,4,2,2,4,1,2,2,1, , , , ,7,2,2,56301,R,2,27,2.96875,.979046808344096
100215,1,31016,1,1,1, ,3,1,2,1,2,1,2, , ,1,2,4,2,2,1,2,2,2,2,2, , , , , , , , ,2,2,2,2,2,2,2,2,4,2,4,2,2,4,1,1,20,1,2,2, , , , ,5,1,1,2,3,3,3, , , , ,3,8, , , , , , , , , , , , , ,2, , , , , , ,1,2,2,2,8,8,2,2,1,3,2, , ,3,1, , ,1,80,5,2, ,3,3,2,1, ,3,2,1, , , , ,3,2,2,52314,S,2,19,2.84375,.937823784834871
100219,1,31016,1,2,1, ,3,1,2,1,1, , ,2, ,1,1,2,1,1,1, , , , , ,1,2,2, , , , , ,1,1,1,1,1,1,2,1,2,1,2,1,1,3,2,1,30,1,1,1,4,4,3,5,1,1,1,1,1,1,1,4,1,1,1,3,1,1,1,1,2, , ,1,2,1, , ,2,1,1, , , ,2,1,1,1,1,1,1,2,2,2,1,1, , ,2,1, , ,1,3,2,42,1,1,0,6,1,2,2, ,5,2,1, , , , ,6,5,3,16803,S,1,42,5.28125,1.74167274326476
